"PERGUNTA";"IMAGEM PERGUNTA";"ALTERNATIVAS";"RESPOSTA CORRETA";"IMAGEM RESPOSTA";"CATEGORIA DA PERGUNTA";"SETOR";"RESPONSÁVEL";"DATA_HORA";"ID"
Comparando as duas situações é possível afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 42 - calibrador OK e NOK rosca.jpg;"A peça A está OK e a peça B está NOK;A peça A está NOK e a peça B está OK;Ambas estão NOK;Ambas estão OK";A peça A está NOK e a peça B está OK;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;41
Analisando as fotos abaixos, pode-se afirmar:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 44 - comprimento com desenho_x2.jpg;"A bolagem 37 está menor que o especificado;A bolagem 37 está maior que o especificado;A bolagem 33 está maior que o especificado;A bolagem 33 está menor que o especificado;A peça está OK";A bolagem 37 está menor que o especificado;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;42
Realizando a medição da peça observou-se que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 45 - comprimento com desenho2.jpg;"A bolagem 92 está maior que o especificado;A bolagem 92 está menor que o especificado;A bolagem 93 está maior que o especificado;A bolagem 93 está menor que o especificado;A peça está OK";A bolagem 92 está maior que o especificado;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;43
Analisando o desenho da peça e medição, pode-se afirmar:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 46 - diametro com desenho1_x2.jpg;"A bolagem 91 está maior que o especificado;A bolagem 91 está menor que o especificado;A bolagem 92 está menor que o especificado;A bolagem 92 está maior que o especificado;A peça está OK";A bolagem 91 está menor que o especificado;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;44
O que pode-se concluir desta imagem?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 47 - 103.536 - TWA28-XMK19_Oxidação.jpg;"A peça está OK;A peça está com rebarba;A peça está com cavaco;A peça está com oxidação";A peça está com oxidação;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;45
Nesta situação abaixo é possível observar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 48 - HEXAGONO MENOR 115.258-1- XNJ01.jpg;"O diâmetro 2,30 está maior;O diâmetro 2,30 está menor;O hexágono está maior (bolagens 20,21,22);O hexágono está menor (bolagens 20,21,22)";O hexágono está menor (bolagens 20,21,22);-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;46
Observe a imagem abaixo, conclui-se que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\AC. Manchas na superficie_Diego Scrobut.jpg;"Mancha;Risco;Desplacamento;Rebarba;Marcas na camara";Mancha;-;INSPEÇÃO VISUAL;"CQ_LAB;CQ_INF;";Adriele Castro - u129751;2023-09-29 14:38:18.000;47
Conforme a foto em anexo, a NÃO CONFORMIDADE ENCONTRADA conclui-se que:;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID -48 Danificada Lote ZVR02.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID -48 Desplacamento lote ZVR02.jpg";"Superfície danificada e desplacamento;Rebarba e superfície danificada ;Desplacamento e Rebarba ;Falha no jateamento e oxidação";Superfície danificada e desplacamento;-;INSPEÇÃO VISUAL;"CQ_LAB;CQ_USI;";Adriele Castro - u129751;2023-10-06 14:07:32.000;48
Ao realizar a análise da imagem a seguir, que tipo de não conformidade é identificada:;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID- 49 corpo da broca lote ZTG98_Daiane Goncalves.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID- 49 corpo da broca_Daiane Goncalves.jpg";"Desplacamento;Oxidação;Superfice com manchas;Riscos no corpo da broca;Falha na decapagem";Superfice com manchas;-;INSPEÇÃO VISUAL;"CQ_LAB;CQ_USI;";Adriele Castro - u129751;2023-10-06 14:16:20.000;49
Analisando a imagens abaixo é correto afirmar que a não conformidade é?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\NC PEÇA MARCADA.jpg;"Ausência de usinagem ;Superfície marcada ;Superfície amassada ;Rebarba;Cavaco";Superfície amassada;-;INSPEÇÃO ATRIBUTIVA;"CQ_LAB;";Paulo Carvalho - u123749;2023-10-16 16:51:16.000;50
Analisando as imagens abaixo podemos afirmar que a não conformidade é?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\LAB CAVACO.jpg;"Rebarba;Superfície amassada;Cavaco;Superfície marcada;Nenhuma das Alternativas";Cavaco;-;INSPEÇÃO ATRIBUTIVA;"CQ_LAB;";Paulo Carvalho - u123749;2023-10-18 15:17:29.000;51
 De acordo com as imagens qual das três podemos aprovar?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\INFILTRAÇÂO ACIDA.jpg;"1 e 3;1 e 2;3;2;1, 2, e 3";"1, 2, e 3";-;INSPEÇÃO VISUAL;"CQ_LAB;";Paulo Carvalho - u123749;2023-10-18 17:21:55.000;52
O que NÃO é um benefício do Implante Grand Morse?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Grand Morse.JPG;"Confiabilidade;Melhor estética;Estabilidade;Dificuldade de adaptação";Dificuldade de adaptação;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-09 06:23:14.000;53
Qual foi um dos maiores lançamentos da Neodent?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Lançamento grand morse.JPG;"Implante Grand Morse;Implante Soft Morse;Implante Little Morse;Implante Big Morse";Implante Grand Morse;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-11 06:27:02.000;54
Qual destas marcas de produtos odontológicos faz parte do Grupo Straumann?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Nuvo.JPG;"Invisalign;NUVO;FGM;Nuevo";NUVO;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-11 06:24:18.000;55
"Qual torque é aplicado no torquímetro (catraca) para fixação do
micro pilar no implante Grand Morse: 

";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Torquímetro catraca.JPG;"70 Newtons;45 Newtons;32 Newtons;27 Newtons";"32 Newtons";-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-11 06:22:48.000;56
Quais informações temos no verso das embalagens de produtos Neodent/ NUVO?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Neodent-Nuvo.JPG;"Tabela de valores;Ingredientes do produto;Características e especificações do produto;Valores nutricionais";Características e especificações do produto;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-11 06:20:26.000;57
O que é um implante dentário?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Implante dentário.JPG;"São próteses removíveis;É um instrumento odontológico;É um dispositivo  feito em alumínio;É um dispositivo feito em titânio que substitui a raiz do dente";É um dispositivo feito em titânio que substitui a raiz do dente;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-09 05:57:48.000;58
"1. Qual é o objetivo principal do PROC.124?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Proc 124.JPG;"Reduzir o tempo de produção.;Prevenir a mistura de peças no processo produtivo.;Aumentar a produção de materiais;Treinar colaboradores para novas funções.";Prevenir a mistura de peças no processo produtivo.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-09 06:02:17.000;59
"O que a sigla ""LIRS"" representa no contexto do PROC.124?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\LIRS- PROC.124.JPG;"Etapas de produção de um novo produto.;Fases do ciclo de produção;Limpeza de Linha, Identificação, Reconciliação e Segregação.;Números de telefone de contato para problemas no processo produtivo.";Limpeza de Linha, Identificação, Reconciliação e Segregação.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-09 06:06:07.000;60
"Qual é o propósito da etapa ""Reconciliação"" no PROC.124?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Reconciliação.JPG;"Garantir que os colaboradores estejam trabalhando corretamente.;Assegurar que a quantidade ísica de produtos, materiais e/ ou insumos correspondem a quantidade descrita na OP física/ apontamento no ERP.;Garantir que todos os produtos sejam segregados.;Limpar as áreas de produção.";Assegurar que a quantidade ísica de produtos, materiais e/ ou insumos correspondem a quantidade descrita na OP física/ apontamento no ERP.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-09 06:10:40.000;61
"Por que é importante a prática de ""Segregação"" no processo produtivo?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Segregação.JPG;"Para acelerar o processo de produção.;Para aumentar a quantidade de materiais produzidos.;Para evitar o contato entre lotes e garantir a qualidade.;Para promover a mistura de peças.";Para evitar o contato entre lotes e garantir a qualidade.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-09 06:15:18.000;62
O que é enfatizado como a responsabilidade de todos os colaboradores no PROC.124?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Responsabilidade LIRS.JPG;"Realizar as tarefas apenas em ordem alfabética.;Manter a área de produção sempre bagunçada.;Descartar todas as peças sem exceção.;Verificar se os materiais estão devidamente identificados e segregados.";Verificar se os materiais estão devidamente identificados e segregados.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 00:33:59.000;63
Qual é a importância da limpeza da lente da máquina de medição Keyence?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Lente Keyence.JPG;"Evitar manchas nas peças.;Manter os pinos de medição organizados.;Garantir a segurança dos operadores.;Assegurar o funcionamento adequado do programa.";Assegurar o funcionamento adequado do programa.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 00:37:51.000;64
Qual é o método recomendado para limpar a lente da máquina?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Limpeza lente Keyence.JPG;"Usar álcool em gel.;Utilizar água apenas.;Limpar com wapper e álcool 70.;Não é necessário fazer a limpeza.";Limpar com wapper e álcool 70.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 00:39:46.000;65
Qual é a principal função da máquina de visão Keyence?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Função Keyence.JPG;"Replicar manualmente peças complexas.;Realizar a limpeza diária das ferramentas.;Medir e inspecionar precisamente as dimensões e características das peças.;Registrar informações sobre a manutenção da máquina.";Medir e inspecionar precisamente as dimensões e características das peças.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 00:43:16.000;66
Qual é a principal finalidade do paquímetro?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Finalidade do paquímetro.JPG;"Medir ângulos;Medir diâmetros internos;Medir comprimentos, espessuras e diâmetros externos;Medir volumes";Medir comprimentos, espessuras e diâmetros externos;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 00:51:55.000;67
"Como o paquímetro é utilizado para medir diâmetros internos?
";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Paquímetro.jpg;"Ele não pode ser usado para essa finalidade;Utiliza-se uma escala vernier;Utiliza-se as garras internas do paquímetro;Utiliza-se um micrômetro";Utiliza-se as garras internas do paquímetro;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 00:58:18.000;68
Qual é a principal vantagem da máquina de visão Keyence?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Vantagem máquina de visão.JPG;"Facilidade de transporte;Alta precisão na medição de massa;Capacidade de medir dimensões de superfícies complexas e contornos irregulares;Baixo custo";Capacidade de medir dimensões de superfícies complexas e contornos irregulares;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:02:58.000;69
Qual é a unidade de medida padrão usada em paquímetros e micrômetros?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Unidade de medida.JPG;" Milímetros;Centímetros;Polegadas;Metros"; Milímetros;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:05:21.000;70
Qual é a principal função de um projetor de perfil?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Projetor perfil.JPG;"Medir dimensões internas de objetos;Verificar o peso de objetos;Medir a dureza de objetos;Medir dimensões e contornos de objetos";Medir dimensões e contornos de objetos;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:09:11.000;71
Qual é o principal campo de atuação da Neodent na área da odontologia?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Implante Neodent.JPG;"Fabricação de próteses auditivas;Produção de escovas de dentes;Fabricação de implantes dentários e soluções odontológicas;Pesquisa de medicamentos odontológicos";Fabricação de implantes dentários e soluções odontológicas;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:12:52.000;72
Em que país a Neodent iniciou suas atividades no desenvolvimento de soluções odontológicas?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\País Neodent.JPG;"Itália;Brasil;Estados Unidos;Japão";Brasil;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:16:01.000;73
Quais os produtos mais reconhecidos da Neodent na área da odontologia?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Reconhecido na odontologia.JPG;"Luvas cirúrgicas;Aparelhos ortodônticos;Implantes dentários e componentes protéticos;Fio dental";Implantes dentários e componentes protéticos;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:44:46.000;74
"O que representa nossas ""CRENÇAS FUNDAMENTAIS"" ?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Crenças fundamentais.JPG;"Regras da empresa.;Valores que guiam o comportamento da empresa.;Tarefas diárias dos funcionários.;Documentos de qualidade.";Valores que guiam o comportamento da empresa.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:49:34.000;75
"O que o programa ""Carreira Consciente"" visa ajudar os colaboradores a se tornarem?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Carreira Consciente.JPG;"Líderes da empresa.;Especialistas em documentação.;Protagonistas de seu próprio desenvolvimento.;Novos contratados.";Protagonistas de seu próprio desenvolvimento.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 01:52:11.000;76
"Qual é a função das ""Instruções de Trabalho"" (IT / EQI) de acordo com o texto?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Instruções de trabalho e IT.JPG;"Registrar atividades de um departamento.;Fornecer suporte para execução de atividades.;Descrever os passos para executar uma atividade.;Documentar procedimentos da empresa.";Descrever os passos para executar uma atividade.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-11 06:15:20.000;77
Qual é a importância da RDC 665/22 da Anvisa para as empresas que comercializam produtos médicos no Brasil, de acordo com o texto?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\RDC - Anvisa.JPG;"Ela regula a exportação de produtos médicos.;Ela estabelece as diretrizes para publicidade de produtos médicos.;Ela impõe restrições à produção de produtos médicos no Brasil.;Ela consolida as Boas Práticas de Fabricação e Distribuição a serem seguidas pelas empresas.";Ela consolida as Boas Práticas de Fabricação e Distribuição a serem seguidas pelas empresas.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 02:03:05.000;78
"Qual é a área principal de aplicação da norma ISO 13485?
";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\ISO 13485.JPG;"Regulação de dispositivos médicos nos Estados Unidos.;Estabelecimento de regras de publicidade para produtos médicos.;Gestão de qualidade em produtos para saúde, incluindo dispositivos médicos e serviços relacionados.;Padronização de processos de produção de alimentos.";Gestão de qualidade em produtos para saúde, incluindo dispositivos médicos e serviços relacionados.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 04:37:16.000;79
De acordo com o texto, qual é o escopo do controle sanitário realizado pela ANVISA?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Escopo ANVISA.JPG;"Somente a regulação de produtos médicos.;Apenas a vigilância de ambientes de saúde.';Controle da produção e consumo de produtos e serviços relacionados à saúde.;Regulação exclusiva de bares e restaurantes";Controle da produção e consumo de produtos e serviços relacionados à saúde.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-11 06:13:43.000;80
"O que a sigla ""ANVISA"" representa?";\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Sigla ANVISA.JPG;"Agência Nacional de Vigilância Sanitária.;Associação Nacional de Vendedores de Insumos de Saúde.;Autoridade Nacional de Vigilância Internacional de Saúde.;Associação Nacional de Visitação de Serviços de Saúde.";Agência Nacional de Vigilância Sanitária.;-;TREINAMENTO PADRONIZADO;"SEM0_CQ USI;";Edy Junior - u126146;2023-11-10 04:41:58.000;81
Em que sequência a inspeção de máquinas deve ser realizada?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Sequência de inspeção.JPG;"Atributos, Variáveis e Visual;Visual, Atributos e Variáveis;Variáveis, Visual e Atributos;Visual, Variáveis e Atributos";Visual, Atributos e Variáveis;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 04:48:53.000;82
Qual é a crença que enfatiza a importância de criar um ambiente onde todos se sintam à vontade para expressar suas opiniões e contribuir?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Crenças fundamentais.JPG;"Promover Engajamento;Paixão por Aprender;Segurança Psicológica;Obsessão pelo cliente";Segurança Psicológica;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 04:49:49.000;83
O que é o objetivo do curso de Excel Básico  da trilha We learn no contexto deste treinamento?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Excel básico.JPG;"Aprender a operar máquinas de inspeção;Desenvolver habilidades de comunicação;Melhorar a compreensão de desenhos mecânicos;Adquirir conhecimentos em planilhas eletrônicas para documentação de dados.";Adquirir conhecimentos em planilhas eletrônicas para documentação de dados.;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 04:53:02.000;84
No contexto do treinamento, por que é importante que o treinando saiba identificar as avarias nos equipamentos?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Avaria no equipamento.JPG;"Para reportar problemas ao departamento de recursos humanos;Para solicitar manutenção preventiva;Para garantir a segurança no local de trabalho; Para evitar o uso de equipamentos defeituosos que possam afetar a qualidade da inspeção."; Para evitar o uso de equipamentos defeituosos que possam afetar a qualidade da inspeção.;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-11 06:10:36.000;85
Por que é importante conhecer a tolerância dimensional ao medir as peças?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Toolerância dimensional.JPG;"Para aumentar o custo de produção.;Para tornar a medição mais complicada.;Para garantir que as peças atendam aos requisitos de qualidade.;Para acelerar o processo de fabricação.";Para garantir que as peças atendam aos requisitos de qualidade.;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 05:00:28.000;86
O que é tolerância dimensional?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\_imgs\2023\11\Tolerância dimensional.JPG;"Uma medida precisa em milímetros.;A margem de erro permitida em uma medição.;A unidade de medida em escala micrométrica;A precisão do instrumento de medição.";A margem de erro permitida em uma medição.;-;TREINAMENTO PADRONIZADO;"SEM2_CQ USI;";Edy Junior - u126146;2023-11-10 05:05:16.000;87
